CCGCODE,GPPRACTICECODE,NumItems,TotalPats,Year,PercFemale,Perc65plus,PercOB,PercHyp,IMD,Urban,GPHeadcount,PercDia,NHSRegion
00C,A83048,47299,5540,2015,50.87,22.60,8.57,16.00,4,0,3,5.43,North East and Yorkshire
00C,A83641,33269,4764,2015,45.95,12.68,14.37,13.00,1,1,6,6.27,North East and Yorkshire
00C,A83013,75746,11157,2015,50.53,14.75,12.25,12.00,2,1,10,6.86,North East and Yorkshire
00C,A83010,81938,14510,2015,50.95,21.88,12.44,16.00,3,1,10,6.30,North East and Yorkshire
00C,A83040,82436,11873,2015,50.78,16.49,13.98,15.00,2,1,12,8.24,North East and Yorkshire
00C,A83031,76258,10071,2015,49.99,21.70,9.38,17.00,3,1,10,6.33,North East and Yorkshire
00C,A83034,51925,10056,2015,51.03,18.22,9.78,13.00,2,1,10,6.27,North East and Yorkshire
00C,A83070,48970,5593,2015,49.90,21.78,11.51,17.00,4,0,5,6.53,North East and Yorkshire
00C,A83006,41248,7783,2015,49.60,16.86,16.49,15.00,2,1,7,7.96,North East and Yorkshire
00C,A83005,82189,11435,2015,51.96,19.70,13.41,17.00,2,1,8,9.08,North East and Yorkshire
00C,A83047,102684,14077,2015,50.98,18.26,15.75,15.00,2,1,11,7.65,North East and Yorkshire
00C,A83034,54364,10117,2016,50.75,18.37,10.64,13.82,2,1,10,6.64,North East and Yorkshire
00C,A83006,40860,7905,2016,49.74,17.24,18.03,15.51,2,1,7,8.20,North East and Yorkshire
00C,A83047,107404,14254,2016,50.91,18.32,14.65,15.61,2,1,10,7.72,North East and Yorkshire
00C,A83013,79342,11390,2016,50.32,14.92,13.67,11.98,2,1,9,7.23,North East and Yorkshire
00C,A83040,84391,11946,2016,50.67,16.82,14.98,15.16,2,1,10,8.57,North East and Yorkshire
00C,A83005,80887,11513,2016,52.00,19.89,14.24,17.67,2,1,11,9.30,North East and Yorkshire
00C,A83048,47396,5564,2016,50.99,22.93,7.73,16.33,4,0,4,5.53,North East and Yorkshire
00C,A83070,53915,5546,2016,49.77,22.86,12.48,17.76,4,0,5,6.84,North East and Yorkshire
00C,A83010,95184,14410,2016,51.01,22.01,13.15,16.99,3,1,9,6.70,North East and Yorkshire
00C,A83641,34705,4834,2016,45.82,12.74,14.13,13.02,1,1,4,6.81,North East and Yorkshire
00C,A83031,80247,9901,2016,49.99,22.33,9.60,17.34,3,1,8,6.73,North East and Yorkshire
00C,A83034,55044,10203,2017,50.61,18.59,11.22,13.89,2,1,9,6.81,North East and Yorkshire
00C,A83031,82966,9901,2017,50.03,22.99,22.90,17.48,3,1,10,6.84,North East and Yorkshire
00C,A83641,35977,4920,2017,45.77,13.17,14.13,13.62,1,1,3,6.68,North East and Yorkshire
00C,A83047,106642,14428,2017,50.85,18.37,14.92,15.91,2,1,11,7.80,North East and Yorkshire
00C,A83005,83772,11642,2017,52.00,20.36,14.53,17.92,2,1,10,9.33,North East and Yorkshire
00C,A83048,47157,5600,2017,50.80,23.43,9.26,16.56,4,0,4,5.90,North East and Yorkshire
00C,A83006,43134,7953,2017,49.93,17.48,18.54,15.58,2,1,7,8.00,North East and Yorkshire
00C,A83070,52925,5462,2017,49.76,23.75,13.52,17.69,4,0,5,6.86,North East and Yorkshire
00C,A83010,95437,14317,2017,50.89,22.18,11.35,17.76,3,1,13,6.90,North East and Yorkshire
00C,A83040,84706,12100,2017,50.45,16.97,15.46,15.03,2,1,10,8.60,North East and Yorkshire
00C,A83013,79180,11249,2017,50.32,15.26,14.28,12.05,2,1,10,7.35,North East and Yorkshire
00C,A83034,54533,10155,2018,50.45,18.80,12.54,13.74,2,1,8,7.06,North East and Yorkshire
00C,A83641,35742,4907,2018,45.69,13.12,13.77,14.17,1,1,3,7.01,North East and Yorkshire
00C,A83048,49415,5634,2018,50.73,24.01,8.47,16.62,4,0,4,5.89,North East and Yorkshire
00C,A83047,109008,14669,2018,50.76,18.27,15.24,16.31,2,1,11,8.11,North East and Yorkshire
00C,A83013,76906,11304,2018,50.26,15.28,13.90,12.32,2,1,8,7.78,North East and Yorkshire
00C,A83031,83500,10086,2018,49.94,23.53,11.45,17.41,3,1,12,7.14,North East and Yorkshire
00C,A83006,44761,8022,2018,50.05,17.70,18.11,15.63,2,1,7,8.23,North East and Yorkshire
00C,A83005,85262,11792,2018,51.99,20.84,15.57,17.94,2,1,11,9.39,North East and Yorkshire
00C,A83040,84809,12092,2018,50.31,16.80,18.06,15.01,2,1,8,8.61,North East and Yorkshire
00C,A83070,55948,5494,2018,49.67,24.19,12.77,17.61,4,0,6,6.88,North East and Yorkshire
00C,A83010,102454,14119,2018,50.86,22.61,13.43,18.08,3,1,10,6.87,North East and Yorkshire
00C,A83040,82899,11967,2019,50.13,17.23,20.48,14.70,1,1,9,8.66,North East and Yorkshire
00C,A83047,108792,14895,2019,50.49,18.19,15.06,16.43,2,1,10,8.21,North East and Yorkshire
00C,A83034,54346,10158,2019,50.48,18.82,12.01,14.08,2,1,8,7.16,North East and Yorkshire
00C,A83070,53049,5578,2019,49.64,24.42,13.07,17.66,4,0,6,7.12,North East and Yorkshire
00C,A83006,44446,8070,2019,49.79,17.93,18.24,16.25,2,1,7,8.38,North East and Yorkshire
00C,A83005,87106,11993,2019,51.91,21.18,14.78,18.17,2,1,11,9.38,North East and Yorkshire
00C,A83010,103875,13818,2019,50.64,23.10,15.09,18.68,2,1,11,6.94,North East and Yorkshire
00C,A83013,79477,11636,2019,50.37,15.56,13.68,12.48,1,1,8,8.06,North East and Yorkshire
00C,A83031,87446,10409,2019,49.96,24.07,10.20,17.72,3,1,10,7.16,North East and Yorkshire
00C,A83641,35286,4786,2019,45.38,13.35,16.77,14.61,1,1,3,7.40,North East and Yorkshire
00C,A83048,50533,5640,2019,50.59,25.00,9.44,16.59,4,0,4,5.82,North East and Yorkshire
00D,A83638,14076,1410,2015,50.50,18.30,20.15,19.00,1,0,2,7.62,North East and Yorkshire
00D,A83057,53647,5612,2015,49.39,13.68,12.29,18.00,1,0,7,7.81,North East and Yorkshire
00D,A83007,98036,9403,2015,51.27,20.70,15.76,20.00,1,1,8,7.39,North East and Yorkshire
00D,A83015,86553,10397,2015,51.03,21.53,10.96,18.00,2,1,6,8.35,North East and Yorkshire
00D,A83008,46399,5521,2015,49.99,21.41,19.37,18.00,1,0,5,9.47,North East and Yorkshire
00D,A83041,108380,7669,2015,50.84,20.00,15.00,17.00,2,0,6,7.87,North East and Yorkshire
00D,A83054,119747,15470,2015,50.46,20.07,10.78,18.00,3,0,13,7.01,North East and Yorkshire
00D,A83074,99374,11328,2015,50.10,16.92,15.68,16.00,2,1,11,8.06,North East and Yorkshire
00D,A83616,28080,2305,2015,47.55,17.40,12.99,22.00,1,1,3,7.66,North East and Yorkshire
00D,A83052,82124,8892,2015,49.69,20.54,12.09,16.00,2,1,7,7.37,North East and Yorkshire
00D,A83019,44339,5139,2015,50.11,18.58,24.63,15.00,1,1,5,7.20,North East and Yorkshire
00D,A83017,68501,7488,2015,49.37,22.09,16.26,18.00,1,0,4,8.05,North East and Yorkshire
00D,A83004,43695,3683,2015,48.22,17.05,15.78,16.00,2,1,3,7.48,North East and Yorkshire
00D,A83634,27872,2641,2015,50.17,23.63,18.20,20.00,1,0,3,9.48,North East and Yorkshire
00D,A83012,162901,15111,2015,50.97,18.30,15.46,18.00,1,1,11,7.22,North East and Yorkshire
00D,A83042,48676,4928,2015,50.71,18.59,14.38,18.00,2,0,8,7.49,North East and Yorkshire
00D,A83032,31254,2442,2015,51.31,27.31,20.09,24.00,2,0,2,9.74,North East and Yorkshire
00D,A83037,158320,13829,2015,51.10,22.46,11.08,18.00,2,1,11,8.47,North East and Yorkshire
00D,A83021,133772,13663,2015,50.85,19.09,19.24,16.00,2,1,11,8.16,North East and Yorkshire
00D,A83043,33443,2695,2015,49.39,28.79,15.41,26.00,3,0,5,8.09,North East and Yorkshire
00D,A83060,20938,3046,2015,49.70,20.42,20.44,14.00,3,0,3,7.48,North East and Yorkshire
00D,A83626,21684,2000,2015,49.10,22.10,21.94,20.00,2,0,5,9.52,North East and Yorkshire
00D,Y02614,4155,1454,2015,54.68,5.02,25.31,8.00,1,0,4,3.76,North East and Yorkshire
00D,A83071,42894,5129,2015,51.76,15.91,16.24,14.00,2,1,4,6.40,North East and Yorkshire
00D,A83068,15781,1516,2015,46.97,21.90,,,1,1,7,,North East and Yorkshire
00D,A83051,112161,10222,2015,50.82,18.42,17.20,19.00,2,1,9,7.479595566,North East and Yorkshire
00D,A83020,96270,13514,2015,50.75,20.27,11.06,18.00,2,0,12,7.656464139,North East and Yorkshire
00D,A83075,73266,4698,2015,48.72,20.84,12.27,20.00,2,1,5,6.836086404,North East and Yorkshire
00D,A83045,122349,15068,2015,50.29,19.94,8.74,15.00,2,0,13,6.920415225,North East and Yorkshire
00D,A83619,23131,2784,2015,45.76,13.54,19.15,16.00,1,1,2,8.303730018,North East and Yorkshire
00D,A83061,23788,3325,2015,50.11,24.57,8.56,15.00,4,0,4,5.863425098,North East and Yorkshire
00D,A83627,47036,4670,2015,50.36,12.72,18.10,17.00,2,1,5,7.457713993,North East and Yorkshire
00D,A83035,74117,7163,2015,50.30,27.14,10.58,21.00,3,0,9,7.284231019,North East and Yorkshire
